id,fit,a,b,c,cdf_r2_score,pdf_r2_score
1,cdf,0.05943056647199447,0.9373079028158123,1.389932830967444,0.9799153386341248,0.786443632806852
2,cdf,0.10916192652531911,0.9584310420191823,1.0342100113384431,0.9690672456114842,0.7541801789039422
4,cdf,0.05109241913262819,0.944644923678662,1.3807756078000795,0.9817927853755193,0.7895165808937742
5,cdf,0.08014211243115353,0.9587067298301649,1.124859616078923,0.9777437528948899,0.7752743454746835
7,cdf,0.1002752080611668,0.9419661209025714,1.1824690112233305,0.9808204662728588,0.8010053713990811
8,cdf,0.08792018292107068,0.9549770345242857,1.1282790238747067,0.9762657316589908,0.7588472748279569
9,cdf,0.48086759689401404,0.7672647041026618,1.2912914824305632,0.9939278460319589,0.7963850883524045
10,cdf,0.05704129195841297,0.9496361925529139,1.3053100973018865,0.9762270671133139,0.7466960889683485
11,cdf,0.20416230869688473,0.9585811052766738,0.8283026024163147,0.9639469602193707,
12,cdf,0.0932222401715208,0.9696606637282662,0.9813080119414194,0.9714524279736266,
13,cdf,0.11544206150728448,0.9565811464202465,1.028483627074821,0.9788485616094271,0.7849286859161957
14,cdf,0.0956341244208607,0.9659211839356665,1.006308601944626,0.9823143881030637,0.7480381625166301
15,cdf,0.07483881366476154,0.9732347098291447,1.0065510061339507,0.9817051355717236,0.7662587025474904
16,cdf,0.11042509972005367,0.9156196305068147,1.3233531933234794,0.9657510076227194,0.6577098900203926
17,cdf,0.2516186506214129,0.9217662885936868,0.9639549292664916,0.9751524287293785,
19,cdf,0.11304370289936908,0.9587516559978739,1.018496820886404,0.9733499409894281,0.7403512128682539
21,cdf,0.1223689439899554,0.9605496710503497,0.9779097315589691,0.9697921982771068,
23,cdf,0.10873966507493302,0.9442460905500983,1.1377675593307437,0.9792133862127672,0.7884829913500202
25,cdf,0.11058810745664605,0.9504653058077817,1.090413568254085,0.9620340166022037,0.6712080581869492
26,cdf,0.16391777898305224,0.9682230292556651,0.8249616254549231,0.9701704114336368,
27,cdf,0.10901344497669962,0.9589705239060506,1.0274397963017927,0.9781678213574226,0.770080288353243
28,cdf,0.12549083223629548,0.9253327770889146,1.2079175113727374,0.9913208433163974,0.8359879393217583
30,cdf,0.05471168143973863,0.9383511490636608,1.4062644825737916,0.985815949417724,0.816086937652525
31,cdf,0.13094290845044548,0.9140798310540142,1.2648996231127738,0.9783124499108193,0.7636825634318679
32,cdf,0.1294315580003536,0.9665773318736633,0.9094311675971164,0.9828853734569241,
33,cdf,0.04927023418079795,0.9655893682926524,1.207571626218972,0.9580174037816324,0.6556750590895086
34,cdf,0.05832051757396589,0.9630511945874588,1.1818687547396718,0.9656332262656689,0.6619625865725747
35,cdf,0.2170524267660967,0.9283237396145264,0.9913501964308054,0.9637813612009158,
36,cdf,0.0953004790302821,0.9706254637834025,0.9657216167375794,0.9738164578474106,
38,cdf,0.11264827725369715,0.9676230916243164,0.9471136381161525,0.9608352051330433,
39,cdf,0.098767180575953,0.9348282375158109,1.2378822226381883,0.9746900795156048,0.7504129126790853
41,cdf,0.13698803698361786,0.9314692168678342,1.1446953580295323,0.9640312863824362,0.6415501657254805
42,cdf,0.5166660143803435,0.8705113018555173,0.8531983008551814,0.9853735721866149,
43,cdf,0.23717991543611971,0.9866261687060706,0.5417808808340054,0.9854191426952796,
44,cdf,0.26884328799988566,0.9730236303351852,0.6271934655167672,0.9895962874243724,
45,cdf,0.1137764804033391,0.9426741456593063,1.1307365978979658,0.9841342771997104,0.8075028054388714
46,cdf,0.16322843449256305,0.9651049580780625,0.8527432951080626,0.965579768036826,
48,cdf,0.18833793131450233,0.9641206423190891,0.8117144572736573,0.9721028939318404,
49,cdf,0.12914889036422306,0.9482094333313926,1.0539670262857024,0.9656244369710122,0.6733471897205683
50,cdf,0.23586073053785456,0.8927351166915158,1.1340621962909623,0.9906997182392161,0.8994602003166994
56,cdf,0.12036631936081237,0.9575175730684231,1.0069574673551671,0.9711853221945947,0.7200335872732126
60,cdf,0.1337776207202972,0.876674962906713,1.451788048730346,0.9942518071184518,0.7765195482444338
63,cdf,0.3848288728696036,0.9789961219107592,0.4676515450487702,0.9551297681394573,
64,cdf,0.37655546350253316,0.9118636356454093,0.8402033411407347,0.9746507529804391,
66,cdf,0.08197218236051781,0.9539947376240394,1.1580529895754859,0.975800177008447,0.7055057458029796
69,cdf,0.16009801564701326,0.9852081907337192,0.6649624809203089,0.9551969305324784,
71,cdf,0.10661165992806523,0.966997338067179,0.9706113743205976,0.9452537053913967,
72,cdf,0.14789288652331592,0.9687716938444715,0.8554236025648555,0.9541985570556551,
74,cdf,0.10007587389804376,0.9165566569010621,1.3496504007540524,0.9735985031074639,0.6889925751075168
75,cdf,0.1336579878563493,0.9468806500801299,1.054244330459504,0.9591486118800411,0.6522453042346423
77,cdf,0.16798234696638858,0.9302118815120999,1.0809209680475111,0.9523374996345542,0.6270194705567758
78,cdf,0.12814388307823496,0.966679908688,0.9174742836895805,0.9534234788557582,
79,cdf,0.11302054306719928,0.9257439707181427,1.2550590993453772,0.940017455417707,0.5120051205344232
81,cdf,0.1652218421859128,0.9601801440476266,0.8838867349807333,0.9749499776315428,
82,cdf,0.1019137200903843,0.9298326578674528,1.2622910488883126,0.9580519089186905,0.6023877564083016
85,cdf,0.08152817180801046,0.9588431932756505,1.120246606419666,0.9645464308303624,0.6834908026462179
86,cdf,0.058828678514861094,0.9631868059009817,1.1790532626868881,0.9460440205774509,0.5153687321190429
88,cdf,0.10524949708578268,0.9506717393603623,1.1059594380439506,0.9493193782514635,0.5317994105004757
90,cdf,0.08940691125945327,0.9551506787886399,1.118129276348542,0.9680700008252531,0.5977907384688442
91,cdf,0.0683620433646433,0.9631927966268983,1.1256389857164926,0.9767073254703064,0.6366175682797794
93,cdf,0.029013528003577135,0.9563125939076308,1.440663154003009,0.992688051066324,0.8575095736231877
94,cdf,0.01171984224291016,0.9612060957454872,1.6362682005973481,0.9972513057180897,0.9230966905076954
95,cdf,0.13044657845635238,0.9687567490236402,0.8952208564408967,0.9289325783674697,
96,cdf,0.1263282315592082,0.9733456339154644,0.8607997433275733,0.9510085236618221,
97,cdf,0.06602394178373765,0.9710905971623773,1.0637998341261967,0.9783910362141317,0.7359911030329518
98,cdf,0.22009500228581313,0.9399541663019481,0.9172629823071599,0.974980885165496,
100,cdf,0.09114407391445496,0.9470466812153328,1.174428044360457,0.9812305506718936,0.7804457144850907
102,cdf,0.1444383112890391,0.9704522003995723,0.842741050526501,0.9865198459983443,
104,cdf,0.14284425912557078,0.9645939531331549,0.8981139362851098,0.9659777835375661,
105,cdf,0.13540252357347213,0.963975380973885,0.9216071772339426,0.9586596628682584,
106,cdf,0.33126606365050004,0.9380109100203071,0.7698900472489847,0.9794782846658147,
107,cdf,0.10745522614578451,0.9676542642250439,0.9556402073045718,0.9844720342250893,
108,cdf,0.158056215342917,0.9528436268350411,0.9551894725105905,0.9604739225146459,
109,cdf,0.2060888905623726,0.9398092284793635,0.9437870664963689,0.9692465908504868,
110,cdf,0.1251868502526031,0.9719897116783074,0.8734466697220917,0.9730542758735881,
112,cdf,0.2760120767749877,0.9527332898121347,0.763175834431791,0.9394212662610697,
113,cdf,0.06451671695153656,0.8947319314426025,1.650397723376004,0.968207352174174,0.6487119736849493
114,cdf,0.167199447310545,0.9658807688630131,0.8400353439146312,0.9584363216547565,
116,cdf,0.11726125914425321,0.9706847353560469,0.9099040725412685,0.9362957400826324,
117,cdf,0.10364156640002833,0.9743586175918577,0.908064958967563,0.9576669019548596,
118,cdf,0.17908635970214534,0.9403362943933254,0.9945065901235878,0.9559615375124795,
119,cdf,0.14381485396197535,0.9646311872165372,0.8992423749368393,0.9354934699630262,
121,cdf,0.08635659028544435,0.9650736450617134,1.0482627817433026,0.9621596017889358,0.6414998012277034
123,cdf,0.22837791143161315,0.9717457300521797,0.6976331359850084,0.9143249372974559,
124,cdf,0.06564129959116298,0.9772432333112993,1.0031973741539724,0.9419267173545138,0.5548679864244761
127,cdf,0.04701054677266168,0.9575859420863212,1.2962537373258716,0.9678602881285826,0.6488482957431844
128,cdf,0.15815200156116663,0.9478714664109595,0.9899205676817113,0.9530731682722783,
130,cdf,0.1579487732954501,0.9673143363991771,0.8459932276670128,0.9526525374218374,
131,cdf,0.12114023403485509,0.9732794751955886,0.8728664650441883,0.9571298053037361,
132,cdf,0.10793970736659665,0.9426903945722127,1.155479152714219,0.9535362069918942,0.5547552875942718
133,cdf,0.2052668982988892,0.9695603631117323,0.7485002373039569,0.9340068814304181,
138,cdf,0.09870342265326473,0.9510873389903908,1.1242994720053212,0.9456493390533292,0.5157074159426942
139,cdf,0.09490411032877288,0.9693343772967457,0.9797141155576418,0.9628101080837063,
140,cdf,0.06083660733885251,0.9371108616841881,1.3756049517673645,0.9915681831003219,0.774571501604012
141,cdf,0.10792922156336991,0.9627301370273643,0.9975917329231071,0.9790598875843219,
143,cdf,0.11022158826128382,0.9585483097483366,1.0316546679149605,0.9460530869179722,0.5804145130209118
145,cdf,0.09470681803523184,0.9701375852582171,0.9695010880481637,0.986519132553703,
146,cdf,0.06335253806161012,0.9628122956299932,1.1581962481273842,0.9675581222250678,0.6710152150273374
147,cdf,0.4225381153850332,0.8590019797530947,1.0124249959968532,0.9671988740419911,0.6524158530283046
148,cdf,0.08721128897414072,0.966892744774223,1.028834692483155,0.9619757467870081,0.6534044192958097
150,cdf,0.07331502683028439,0.8939416488488298,1.6049872510890206,0.9679436669471456,0.5949047345615641
151,cdf,0.08286273932420936,0.9733030212841727,0.9789420111031705,0.9754619088661696,
152,cdf,0.1384629850246642,0.9769845312431549,0.7931438931019008,0.9734281663800085,
155,cdf,0.11227409163913332,0.9668462030240322,0.9505817915448116,0.9860539616799231,
156,cdf,0.05524311294445502,0.9691244703741017,1.1345004239080134,0.9787431107644575,0.6854413696845301
157,cdf,0.14785305728464904,0.9780418623853797,0.7700723129826536,0.9486058808337487,
158,cdf,0.12007657420285454,0.9588864329521993,0.9995615288872522,0.9646894442574083,
159,cdf,0.23219323293617056,0.9777245919949707,0.6380900616637801,0.9216674839056384,
161,cdf,0.4631477585122703,0.9843758804585615,0.3740463780651431,0.8944108873777297,
163,cdf,0.1620628660388003,0.9295930690551159,1.0933283656115134,0.9695125028169903,0.6396403502280659
164,cdf,0.14738346032010508,0.9636209603876775,0.8966370904243918,0.9636126076943426,
166,cdf,0.10345379012093067,0.9523950232838446,1.0942573531219313,0.9811750047702431,0.769479074844651
167,cdf,0.1521858140164686,0.9655725020530918,0.8682871507583545,0.9666075462048449,
168,cdf,0.1790786103998943,0.9325912205387294,1.042311565986083,0.9524028609788748,0.620690715140279
171,cdf,0.13731972781758045,0.9886436853449734,0.6561160826226565,0.9843197957797508,
173,cdf,0.13421117876392183,0.9444075845467816,1.0698420299401052,0.9563092534487333,0.63941103731878
174,cdf,0.04228857685017032,0.9751548932813802,1.141392707927083,0.9713981500870319,0.7535080785143458
175,cdf,0.10672903025408755,0.9676258849736213,0.9619574200544527,0.9633567792392936,
176,cdf,0.054972903755720656,0.95731137021007,1.2534871469718325,0.9617294133877218,0.6679868392959732
177,cdf,0.14857778028633398,0.9704766178584228,0.8392784241699253,0.9501365838518566,
178,cdf,0.3119570539837526,0.9874197095331761,0.4600730840697655,0.9319744479412907,
179,cdf,0.1738497594594908,0.9537146962597765,0.9156484322398089,0.9643111296257196,
181,cdf,0.08878829007116934,0.9641479872901549,1.047314548193721,0.9729117378666081,0.7462814435186225
182,cdf,0.08884145738879788,0.9598482120563857,1.080313247808149,0.9841094929420706,0.7849464129575645
183,cdf,0.11578095586980329,0.9632340189867727,0.9723454277798541,0.9775992523887811,
185,cdf,0.1729200757171787,0.993256212022846,0.5255123664556713,0.9852962069000678,
186,cdf,0.09258790857958887,0.9228366333503162,1.3355737882003305,0.98549214092432,0.8114728007066401
