id,fit,a,b,c,cdf_r2_score,pdf_r2_score
1,pdf,1.0,1.0,1.0,0.476835987084287,-11.771684212293152
2,pdf,1.0,1.0,1.0,0.5615603799271672,-10.277594019565312
4,pdf,1.0,1.0,1.0,0.43254082882962275,-13.557110961068117
5,pdf,1.0,1.0,1.0,0.48723901883140275,-13.113859945181096
7,pdf,1.0,1.0,1.0,0.5775649287154546,-9.920485762758828
8,pdf,1.0,1.0,1.0,0.521367076413791,-11.43160802548662
9,pdf,1.0,1.0,1.0,0.8153480340702994,-2.3639528562973426
10,pdf,1.0,1.0,1.0,0.43746865498778675,-13.005054415460586
11,pdf,1.0,1.0,1.0,0.7193881024124369,-6.174948561810838
12,pdf,1.0,1.0,1.0,0.4791016348845243,-13.676490173763328
13,pdf,1.0,1.0,1.0,0.5811042001239907,-10.505610000978919
14,pdf,1.0,1.0,1.0,0.4986899865972104,-13.343555308229606
15,pdf,1.0,1.0,1.0,0.4092436453905375,-17.55848238046626
16,pdf,1.0,1.0,1.0,0.6205758723600221,-6.120365237697129
17,pdf,1.0,1.0,1.0,0.795614272077344,-4.311250162511899
19,pdf,1.0,1.0,1.0,0.5680419287334333,-10.442320354237072
21,pdf,1.0,1.0,1.0,0.5779304176225792,-9.77950618038279
23,pdf,1.0,1.0,1.0,0.5882714533504247,-9.761291439518097
25,pdf,1.0,1.0,1.0,0.5755481443386363,-8.59263270687312
26,pdf,1.0,1.0,1.0,0.6380343951489322,-9.123473649731217
27,pdf,1.0,1.0,1.0,0.5589282473469557,-10.97973061583545
28,pdf,1.0,1.0,1.0,0.6475861023600509,-8.793994555709844
30,pdf,1.0,1.0,1.0,0.45238743997364184,-13.398880041296962
31,pdf,1.0,1.0,1.0,0.662045639579143,-6.787650689311088
32,pdf,1.0,1.0,1.0,0.5772123032426215,-11.385249131644716
33,pdf,1.0,1.0,1.0,0.3681296194403971,-14.272151027033205
34,pdf,1.0,1.0,1.0,0.403372218554939,-13.441353348684602
35,pdf,1.0,1.0,1.0,0.752307911564064,-4.264743724723112
36,pdf,1.0,1.0,1.0,0.4824601966390222,-13.694610746308465
38,pdf,1.0,1.0,1.0,0.5375386676766054,-10.900212061252173
39,pdf,1.0,1.0,1.0,0.5820736893164908,-8.736891618623455
41,pdf,1.0,1.0,1.0,0.648981515224607,-6.1728096590188155
42,pdf,1.0,1.0,1.0,0.8053670066165114,-1.5857732579562356
43,pdf,1.0,1.0,1.0,0.6601391956774677,-7.8856116054091405
44,pdf,1.0,1.0,1.0,0.7896224283647096,-5.37960004266935
45,pdf,1.0,1.0,1.0,0.5969952263128483,-9.79125360114523
46,pdf,1.0,1.0,1.0,0.6432107005162804,-8.660464821272873
48,pdf,1.0,1.0,1.0,0.6877513581785893,-7.275463041802896
49,pdf,1.0,1.0,1.0,0.6150830091412924,-7.555921102659823
50,pdf,1.0,1.0,1.0,0.7938797807273634,-4.967943370603737
56,pdf,1.0,1.0,1.0,0.5807744171720117,-9.631998582592129
60,pdf,1.0,1.0,1.0,0.6818427840453445,-7.459350236511325
63,pdf,1.0,1.0,1.0,0.8875825465139177,-1.9185148733842308
64,pdf,1.0,1.0,1.0,0.8430276030475005,-2.5049721340893796
66,pdf,1.0,1.0,1.0,0.5080886807512406,-10.90195529708993
69,pdf,1.0,1.0,1.0,0.5210201826567766,-13.20286156841634
71,pdf,1.0,1.0,1.0,0.5191330910456127,-9.740614881221017
72,pdf,1.0,1.0,1.0,0.6013435675165784,-8.900892220135146
74,pdf,1.0,1.0,1.0,0.6004096011565725,-7.1284518626587925
75,pdf,1.0,1.0,1.0,0.6246935857567748,-7.0317873480835775
77,pdf,1.0,1.0,1.0,0.685084191863135,-5.049904098368948
78,pdf,1.0,1.0,1.0,0.5705779454339437,-9.213202990532439
79,pdf,1.0,1.0,1.0,0.5988036658645517,-4.89006972582713
81,pdf,1.0,1.0,1.0,0.6618587722295903,-8.047627951627884
82,pdf,1.0,1.0,1.0,0.5849291740954954,-6.475617825007584
85,pdf,1.0,1.0,1.0,0.48856935252182165,-11.268482533176478
86,pdf,1.0,1.0,1.0,0.3983533212124998,-10.305790670160684
88,pdf,1.0,1.0,1.0,0.5568194005308726,-7.03864157549568
90,pdf,1.0,1.0,1.0,0.5084706674665551,-9.637196450906101
91,pdf,1.0,1.0,1.0,0.3954253793280761,-14.126555176178456
93,pdf,1.0,1.0,1.0,0.24555063450018744,-24.084921867266196
94,pdf,1.0,1.0,1.0,-0.00042419872377053025,-43.73354355514022
95,pdf,1.0,1.0,1.0,0.5545438603815975,-7.944016418350561
96,pdf,1.0,1.0,1.0,0.5379794076195561,-10.173977046201587
97,pdf,1.0,1.0,1.0,0.38435236510912085,-16.33639703933983
98,pdf,1.0,1.0,1.0,0.7585632847196263,-5.307577688688941
100,pdf,1.0,1.0,1.0,0.5380548884904998,-11.102627020192646
102,pdf,1.0,1.0,1.0,0.5931535152637947,-11.124267879341648
104,pdf,1.0,1.0,1.0,0.6087571617493261,-9.16952828221222
105,pdf,1.0,1.0,1.0,0.5928921932475941,-8.924980723536287
106,pdf,1.0,1.0,1.0,0.845867757926529,-3.3289968309877667
107,pdf,1.0,1.0,1.0,0.5199229110222792,-13.787007763766052
108,pdf,1.0,1.0,1.0,0.6576133641606299,-6.951164588757385
109,pdf,1.0,1.0,1.0,0.7416682801051636,-5.450501426572039
110,pdf,1.0,1.0,1.0,0.5476700594750348,-11.964160150349391
112,pdf,1.0,1.0,1.0,0.777766844798685,-3.946277432596366
113,pdf,1.0,1.0,1.0,0.5385294211933864,-6.419266906136006
114,pdf,1.0,1.0,1.0,0.6454896702454502,-8.077086921126048
116,pdf,1.0,1.0,1.0,0.5264934971715566,-9.280644003660495
117,pdf,1.0,1.0,1.0,0.4880807741170886,-12.949789171628927
118,pdf,1.0,1.0,1.0,0.6949853940376133,-5.275034664465524
119,pdf,1.0,1.0,1.0,0.5947480330343955,-6.923458382003093
121,pdf,1.0,1.0,1.0,0.48029374961894966,-11.203830660368604
123,pdf,1.0,1.0,1.0,0.6928586317747518,-5.213181409105042
124,pdf,1.0,1.0,1.0,0.3698527850134179,-14.298050566709092
127,pdf,1.0,1.0,1.0,0.3808152914373977,-12.959244257301854
128,pdf,1.0,1.0,1.0,0.6591000270670839,-6.0231935224397954
