id,fit,a,b,cdf_r2_score,pdf_r2_score
1,cdf,1.9731608196479302,3.4493054712794122,0.9978684154790046,0.9257163044648195
2,cdf,2.3660897244470953,2.6852127292200496,0.9964955012546287,0.9202624938831416
4,cdf,2.392080997663952,3.2146960328688916,0.997161785852949,0.9171799589885234
5,cdf,2.8370826328747256,2.620920026284987,0.9992316308144119,0.979539978817162
7,cdf,2.0983480591925465,2.71765763798278,0.9981737777497223,0.9456995021492953
8,cdf,2.492299239811925,2.731567853754083,0.9982358918016178,0.9328322232091655
9,cdf,0.6966609475240538,2.231376810597344,0.9991008637289179,0.8498723420673102
10,cdf,2.362238110666153,3.2710011750084735,0.9977740372110747,0.9060162825362835
11,cdf,2.041397793009624,2.1220344598553007,0.9994710180041788,0.9578557524537563
12,cdf,3.4297978687592523,2.364863993399627,0.9981936588263407,0.9237804798385875
13,cdf,2.658177661892389,2.2968283509850234,0.9987482403993523,0.9726418706258576
14,cdf,3.7644384815986567,2.035533046641509,0.9994749353317155,0.9522097500895391
15,cdf,4.729122839077095,2.067290281519579,0.9987091374604767,0.9491597848389656
16,cdf,1.0961929790967841,4.175598973029213,0.9935298780861255,0.7615875770473308
17,cdf,1.3608451944570807,2.2092323307120787,0.9990141542303621,0.9247825705800073
19,cdf,2.5565407959842292,2.453901671820049,0.9995733934909452,0.9836175160731572
21,cdf,2.5765051735610864,2.3783497481640508,0.9996322701131202,0.9772857194128219
23,cdf,2.1389886681496724,2.6178000510505766,0.9992511202770845,0.9647508089633796
25,cdf,1.7596655104175796,3.2495797043070582,0.9995615326473245,0.9746670420253506
26,cdf,3.034989380386407,1.895351566636489,0.9999312458138899,0.9785096394579487
27,cdf,2.780302750633756,2.3234030676638207,0.9989157059002074,0.9450815666295251
28,cdf,2.092174332577215,2.2394567728308097,0.9990147601944419,0.9705400867056234
30,cdf,2.319191287384406,3.085405394122368,0.9981845595778063,0.9178290876810105
31,cdf,1.3424437336156203,3.1343425608804947,0.9992026631099886,0.9539996102123599
32,cdf,3.6773916393520563,1.8032944825666992,0.9993578957721575,0.9458158677315303
33,cdf,2.397040510713944,4.062708006629033,0.9992244696110246,0.9642030994796057
34,cdf,2.6066680870328565,3.3835902739427866,0.9997229675966667,0.9745399632724934
35,cdf,1.2135607252917358,2.7468394635633024,0.9988087415416028,0.9018656860633087
36,cdf,3.655707655947628,2.23000735608474,0.9995712516112327,0.9578088372786565
38,cdf,2.594609249019292,2.6848448277223307,0.9997276677021958,0.9780414160623545
39,cdf,1.6701564429886688,3.224680575792627,0.9990706112621769,0.959167228012796
41,cdf,1.309134926168275,3.3805621018135743,0.9995656580622385,0.9598638731638585
42,cdf,0.8390646590285147,1.737755993270773,0.999211010833369,0.9379773221768533
43,cdf,7.055748020747174,1.0000000000000002,0.9982000079419739,0.9403254091887621
44,cdf,4.513012497269719,1.0065492082896108,0.9970913412262771,0.9582206247535436
45,cdf,2.346214823800645,2.342598379492933,0.9981020350533373,0.8848170206055336
46,cdf,2.524417431728939,2.168404088694268,0.999620243198195,0.9749293344412677
48,cdf,2.7976722192035877,1.7869284437162842,0.9988594221042828,0.8945983340398165
49,cdf,1.7727097168708186,2.9466619223066637,0.997738018908201,0.8629831694364567
50,cdf,1.4190628240950105,2.0605789315302707,0.9947929610069476,0.8921472563399248
56,cdf,2.419471758720173,2.472205473468146,0.9993701242033088,0.9517926716679019
60,cdf,1.6083164978924158,2.3712251420507995,0.9899716805355043,0.6559315472006366
63,cdf,3.2530576427672737,1.0000000000000158,0.9797199959121091,0.5653203301320527
64,cdf,1.0984432126110393,1.9214767974591669,0.9968486897842551,0.884304951827583
66,cdf,2.5284439506844647,2.7512372607007465,0.9968616441499912,0.8836293701767324
69,cdf,5.579369083817471,1.5423929550336595,0.9966690723434348,0.9508891952653982
71,cdf,1.9773347110069601,3.5537321842355643,0.9977585501809116,0.9079042093704732
72,cdf,2.3691479687612675,2.5442880135441324,0.9995657895955052,0.9609891952940607
74,cdf,1.308690352074375,3.6566799589517784,0.9991682566455686,0.9234722091936686
75,cdf,1.5754240258517027,3.203594910155974,0.9965029014950273,0.8712711208922181
77,cdf,1.011032786030287,3.887656218246661,0.9975369866943956,0.885167574567697
78,cdf,2.266796857926759,2.803624375342101,0.9989148282062782,0.9525093954654346
79,cdf,0.7482286288575659,6.204459171161916,0.997215382010077,0.8640669847960957
81,cdf,2.680827616131625,1.9436745296538933,0.9988443473286137,0.9131480882528786
82,cdf,1.1469250132955646,4.3648676965701005,0.9994692411095629,0.9624422577025654
85,cdf,2.2335659003000217,3.2494061594000474,0.9990221523244072,0.9506577916794491
86,cdf,1.893973569986163,4.54056548399654,0.997550109269826,0.9294397547730001
88,cdf,1.4673308593134053,3.9171153913707157,0.9988818908283481,0.9346980439836218
90,cdf,2.4332981716775066,2.7613595509784727,0.9982287108910659,0.9107425906556179
91,cdf,3.915165672603361,2.215822634642548,0.9965573804770947,0.8909763167504823
93,cdf,4.1551331237992635,2.623951700134698,0.9996377915782152,0.959080689243839
94,cdf,5.840842114041015,2.6399895718624165,0.9984439292895045,0.9341961312739065
95,cdf,1.637194486197964,3.8584800070527057,0.9993421815681757,0.9712850646201153
96,cdf,2.687660730054592,2.654057643897352,0.9986641771511154,0.921812367554842
97,cdf,4.304571438118169,2.313992846446663,0.9941730917514764,0.72922265144084
98,cdf,1.731873563205775,2.106136782891527,0.9961032923939014,0.8519928134695801
100,cdf,2.403959096256914,2.6027112499490905,0.9993949736441449,0.9467453164594313
102,cdf,4.450437740923939,1.5118281394719117,0.9945244890690282,0.911362711609203
104,cdf,2.621086436869318,2.2454981276398214,0.9998606703873524,0.9835593682379756
105,cdf,2.227220665298095,2.6795200772248826,0.9990825032775291,0.9394618671453776
106,cdf,1.667109255481007,1.579394771328462,0.9962315222652707,0.9557039467894586
107,cdf,4.0228175327002145,1.8647004347429132,0.9985765804675246,0.9485213127029782
108,cdf,1.7629203140242389,2.7248318476063647,0.9997841921179614,0.9727565630169672
