id,fit,a,b,c,cdf_r2_score,pdf_r2_score
1,cdf,1.0250662050235437,2.9652010829446005,6.188427504442235,0.9949910483080835,0.8855655867064925
2,cdf,1.0236794297389495,2.61916165093472,5.587157036073682,0.9917187095491281,0.8640509753373415
4,cdf,1.0296475276479833,2.8134328241128213,6.956797461796046,0.9938171172970011,0.8702071318364076
5,cdf,1.0246840908184742,2.565246072615593,6.513324853675624,0.9962950287816894,0.9451079438604344
7,cdf,1.028234438772412,2.603794465697651,5.0431095908210395,0.9948596602047992,0.9079682893799425
8,cdf,1.025079232794707,2.6294927502742587,6.006191084622046,0.9947714904390175,0.8921217801063022
9,cdf,1.0515282084610755,2.2115778341915986,1.3625039082661563,0.9985861240766973,0.8450007920432123
10,cdf,1.0209286849009462,2.9080690698026515,6.965591859622537,0.995034295758324,0.8481595163784937
11,cdf,1.0174920175296072,2.361565824474183,3.6384371954664734,0.997709693500364,0.9460021495021961
12,cdf,1.0200173375709498,2.47918553156431,6.987658534743059,0.995689419708178,0.8618147993082828
13,cdf,1.028224714136374,2.380353206472512,5.25451948668257,0.9951371427966647,0.9405366880350694
14,cdf,1.0306282812208807,2.212267182568386,6.459741145562614,0.9972885651461832,0.9498700196318414
15,cdf,1.0322804589468753,2.217657240112097,8.284854757138747,0.9950736754449556,0.9225455888536513
16,cdf,1.017566839892117,3.377974878583153,4.237398806091128,0.990336905542622,0.6934537357537071
17,cdf,1.0199106295179354,2.383010518936273,2.5538482473247797,0.9965815132800306,0.8881778350319088
19,cdf,1.0219055389648863,2.4987953334609485,5.42301743636199,0.9967178321914852,0.9558616959525529
21,cdf,1.0158356857621216,2.499594749314507,5.237081494783169,0.9991633602168367,0.9784511574626387
23,cdf,1.0238488855110397,2.578520470870646,4.908980855140179,0.9966321643353805,0.9205450936201182
25,cdf,1.0119063802055537,2.965879964171176,5.101302894759719,0.9980424627292681,0.9462990115833967
26,cdf,1.0203066691277909,2.201592966848401,4.736132889455634,0.9979600980756731,0.9664600644151186
27,cdf,1.025871925120127,2.4199895641445823,5.5672253198994115,0.9960664837497243,0.9075441128203916
28,cdf,1.0443780141156984,2.2524935267741646,4.080858330671943,0.996720723467098,0.9583078878540093
30,cdf,1.0308601692178598,2.7586539955995755,6.4579559016136345,0.9955364594708263,0.8714429998930324
31,cdf,1.0220327086077898,2.842437674978837,3.772158031182124,0.9969330508070888,0.9162831789134182
32,cdf,1.0329806970680004,2.074459580105078,5.485085301816817,0.9960761207560284,0.9089416338714711
33,cdf,1.0107355332893728,3.342646875520432,8.9013410013313,0.9976284736923188,0.9303704857216362
34,cdf,1.0115053612580303,3.0291443794714352,7.893107869102075,0.9993244154776977,0.9726790221667195
35,cdf,1.0124994487122247,2.733311314122239,2.9051396174246653,0.9983903302566861,0.9068563213637904
36,cdf,1.021514772542615,2.38872415240553,6.933550106606221,0.9975334962245259,0.9424324521656069
38,cdf,1.0151245024821767,2.6778964033238712,6.072846201723823,0.9974151638728616,0.9489985812245569
39,cdf,1.0204189140750035,2.8933609861997676,4.837687565451792,0.9965599395111601,0.9183437784664898
41,cdf,1.0101149070083633,3.0415940914675526,3.9554943170723984,0.9994331172679616,0.963719611699933
42,cdf,1.0333190212233325,2.027748866340864,1.1936222419444376,0.9960786299086589,0.8962207270555935
43,cdf,1.0480208254837222,1.3748494755511083,4.820470939593762,0.9937744892067659,0.894742227157548
44,cdf,1.0557281554838016,1.4382732333877448,3.2550485949034287,0.9919963398987147,0.9479434546608144
45,cdf,1.0297092192030142,2.4109761417705977,4.77514359027541,0.9957631047237332,0.8293096567167397
46,cdf,1.017625878506036,2.387395947139249,4.625085477225694,0.997019248706029,0.9372739868027984
48,cdf,1.0202952718696923,2.1471647371264795,4.070902159373276,0.9980394468118541,0.8821276538976845
49,cdf,1.012792394562829,2.8505188959600525,4.62149365383059,0.9966779844130602,0.8380719538243198
50,cdf,1.0517416479370492,2.123750953516062,2.5395095880153624,0.9898776210105121,0.8205962909360072
56,cdf,1.0164177869171793,2.5570410820469776,5.157846645899662,0.9987010777853353,0.9437263828133843
60,cdf,1.0877405122425825,2.1312830135746283,3.5190826336802616,0.9868998245740911,0.6099658749046597
