id,fit,a,b,cdf_r2_score,pdf_r2_score
1,cdf,1.0,1.0,-5.950655028068567,-0.5846195834486165
2,cdf,1.0,1.0,-8.348142093449306,-0.4353281789510375
4,cdf,1.0,1.0,-5.980258770902227,-0.5887975573973765
5,cdf,1.0,1.0,-7.440780068807859,-0.5081847690247061
7,cdf,1.0,1.0,-7.020433096877355,-0.5431701089000254
8,cdf,1.0,1.0,-7.4825239154574685,-0.4842295683783435
9,cdf,1.0,1.0,-4.875923069554988,-0.7634720871482032
10,cdf,1.0,1.0,-6.316004719663205,-0.5372820212251441
11,cdf,1.0,1.0,-10.330277756890073,-0.33930115041287556
12,cdf,1.0,1.0,-8.72912339041498,-0.44199061489948366
13,cdf,1.0,1.0,-8.228174892808147,-0.48129559067436145
14,cdf,1.0,1.0,-8.294547787297601,-0.48767641744200585
15,cdf,1.0,1.0,-8.500059106939187,-0.4880127431755692
16,cdf,1.0,1.0,-6.20949027230212,-0.4427356955045074
17,cdf,1.0,1.0,-8.1841103580458,-0.45344140153805745
19,cdf,1.0,1.0,-8.281899624472063,-0.4467617616143724
21,cdf,1.0,1.0,-8.495677233826868,-0.4188695461713505
23,cdf,1.0,1.0,-7.210077341827111,-0.5342338360473686
25,cdf,1.0,1.0,-7.569081172456755,-0.4069472201046338
26,cdf,1.0,1.0,-10.514526594640227,-0.37961382814899003
27,cdf,1.0,1.0,-8.239554533392859,-0.4764206804933355
28,cdf,1.0,1.0,-6.435852808721615,-0.6637433969599056
30,cdf,1.0,1.0,-5.780157750993223,-0.6583830486391318
31,cdf,1.0,1.0,-6.304185308563961,-0.5367390858103658
32,cdf,1.0,1.0,-9.37867049129836,-0.4681756207589216
33,cdf,1.0,1.0,-6.944904509555454,-0.3987993696109764
34,cdf,1.0,1.0,-6.996423750933861,-0.424116122727638
35,cdf,1.0,1.0,-8.068486678730919,-0.3602513397989362
36,cdf,1.0,1.0,-8.885987852603574,-0.43125951198440293
38,cdf,1.0,1.0,-9.113988890274047,-0.3742885529788784
39,cdf,1.0,1.0,-6.602458520488905,-0.5046480987158835
