id,fit,a,b,cdf_r2_score,pdf_r2_score
1,pdf,1.008370067111955,0.624800352760382,-5.950655028068739,
2,pdf,1.0085574305062202,0.6016408994244604,-8.348142093489052,
4,pdf,1.0093325640840305,0.6018222859566333,-5.980258770931259,
5,pdf,1.0095867358329544,0.5878154878307821,-7.440780068846557,
7,pdf,1.0066007698543302,0.6483684574772133,-7.020433096877536,
8,pdf,1.0086646283554286,0.6016852514075147,-7.482523915493356,
9,pdf,1.0083440185024017,0.6428418476408485,-4.875923069554988,-0.7634720871482032
10,pdf,1.0094354699646997,0.5948125019589489,-6.316004719695015,
11,pdf,1.006826308815613,0.6519490214050057,-10.330277756890332,
12,pdf,1.011223726974637,0.56325176279773,-8.729123390468226,-0.4419906149034416
13,pdf,1.0069045604409248,0.615294366889762,-8.228174892844889,
14,pdf,1.0101635401976612,0.5786621429297464,-8.294547787343186,
15,pdf,1.010861205966611,0.5479532849200096,-8.500059106999064,
16,pdf,1.014170055050994,0.5664808286090091,-6.209490272302246,-0.44273569550451963
17,pdf,1.0117292141761955,0.6092781994209767,-8.184110358045924,-0.45344140153806767
19,pdf,1.0090889583781864,0.6045311622664691,-8.281899624510858,
21,pdf,1.0088077144673533,0.6049321983585304,-8.49567723386656,
23,pdf,1.0064518934321531,0.6489247296905827,-7.210077341827297,
25,pdf,1.0085476682685957,0.624515418214192,-7.569081172488888,
26,pdf,1.0076430064435828,0.5981450620347534,-10.514526594690901,
27,pdf,1.009129563069012,0.6039235382635685,-8.239554533431711,
28,pdf,1.0124870994329036,0.5700522910168435,-6.4358528087217435,-0.6637433969599231
30,pdf,1.0086134051974887,0.621071425498685,-5.780157750993392,
31,pdf,1.0110909173225582,0.578673249567234,-6.304185308564078,-0.5367390858103798
32,pdf,1.0092941109259568,0.5931966156890557,-9.378670491345195,
33,pdf,1.0135281915137333,0.5487896388486092,-6.944904509603559,-0.3987993696148975
34,pdf,1.0105407756962483,0.5623793541419274,-6.996423750977458,
35,pdf,1.0108560752132743,0.587505321819873,-8.06848667873106,-0.36025133979894597
36,pdf,1.0105967947294705,0.5614374831500638,-8.88598785265863,
38,pdf,1.0100024616671497,0.5738565485771098,-9.113988890325079,
39,pdf,1.007716278383606,0.662692283374036,-6.602458520489064,
41,pdf,1.0167720103086437,0.55700604985964,-6.984648312775174,-0.4063954192963135
42,pdf,1.009143186044386,0.6096939001155728,-8.211310382625998,-0.4490443357036067
43,pdf,1.0108337615458203,0.5459327011478992,-17.91346360549094,
44,pdf,1.0082708132955,0.6363883941372104,-14.173682802946,
45,pdf,1.0069941265727878,0.6637407477858808,-7.169272171929304,
46,pdf,1.008814540662619,0.6066807210861167,-10.20233617406192,
48,pdf,1.009933779804364,0.6276644327156384,-10.54180903402638,
49,pdf,1.0087029379018118,0.6464831962123355,-7.879805910447228,
50,pdf,1.0062049651114073,0.6469481191749828,-6.760969836269847,
56,pdf,1.0074493649907248,0.615036345628236,-8.259258381545742,
60,pdf,1.0088256702553156,0.6249509386119846,-5.145451863959463,-0.9449703327726315
63,pdf,1.008944644079847,0.6397207450563623,-19.379261053537412,
64,pdf,1.0055907596495675,0.6688601339803368,-9.231768591727526,
66,pdf,1.0089484199904675,0.6003766987396689,-7.236982569072065,
69,pdf,1.011746545333083,0.5305845075964475,-13.671636831103958,
71,pdf,1.01063032123981,0.5708964801974387,-8.830168615808297,
72,pdf,1.0091657882834006,0.583290096425484,-10.228378136311587,
74,pdf,1.0186636046084496,0.5606431470845036,-5.869936899627611,-0.4995647503224634
75,pdf,1.0087220066102534,0.648507834477418,-7.923798179398869,
77,pdf,1.013683492200767,0.5674668087162724,-7.536130016022227,-0.3596896345372418
78,pdf,1.0089938213138439,0.5818327696559541,-9.424684062977018,
79,pdf,1.0181923177876258,0.5505372603832914,-6.360598189065524,-0.3020451576170602
81,pdf,1.0096403840608816,0.6306841149160317,-9.580811497840516,
82,pdf,1.0079101731830138,0.6721878057059779,-6.3147409861771875,
85,pdf,1.010577391386482,0.5847955521061375,-7.448119543357137,
86,pdf,1.0101639941028357,0.5605884564006138,-6.871864117888491,
88,pdf,1.0083008761452201,0.6182735332103377,-7.299012448070474,
90,pdf,1.009097087689007,0.6028971309933754,-7.1086033542010085,
91,pdf,1.0097459712352679,0.5752188697706127,-6.825823237150787,
93,pdf,1.0123980616534232,0.5640945070483454,-5.399800688193776,-0.8378524041397728
94,pdf,1.0150783825754113,0.5394986191567637,-4.529054776518568,-1.2723049978181016
95,pdf,1.010106100981321,0.572880376308332,-9.444255140333192,
96,pdf,1.010770269110837,0.5602152294083517,-10.181460325638698,
97,pdf,1.010683620706772,0.5511358677510626,-8.128602004122031,
98,pdf,1.0118173641250605,0.5770526582796959,-9.112209681054667,-0.44771997583802237
100,pdf,1.0085241252869983,0.6300219146286588,-6.917000298707771,
102,pdf,1.009097184269947,0.5883023481293119,-10.480064839853057,
104,pdf,1.0085424303448944,0.5996666368519249,-9.467001451906004,
105,pdf,1.009086467085796,0.5957827280974679,-9.319049227718159,
106,pdf,1.0130015088098512,0.6100436921262313,-10.800993817146967,-0.39009274109478653
107,pdf,1.0096437459809129,0.580466800947445,-8.911488120085108,
108,pdf,1.009092906977589,0.6442629754487464,-8.750311981605183,
109,pdf,1.0139867949941224,0.5692780055816615,-8.690090092869148,-0.40462651826479146
110,pdf,1.0106291647550167,0.5685224593257238,-9.986345070832884,
112,pdf,1.0154733166791095,0.5601564215680082,-11.071287040853388,-0.27283311788727693
113,pdf,1.0137215726651332,0.5632702575731545,-4.790836471961729,-0.4477550250806015
114,pdf,1.0070845126231187,0.603758765784435,-10.337923112411858,
116,pdf,1.0112701246821636,0.561950836990239,-9.456243564085332,
117,pdf,1.0116935188003955,0.549168951506767,-9.760244010120358,-0.362861779341882
118,pdf,1.0202788817448434,0.5559724822368517,-8.428427395352363,-0.36426916364414197
119,pdf,1.0091279223607785,0.5929043513420825,-9.327434507177317,
121,pdf,1.0103316783894736,0.5710827361925589,-8.139379417399534,
123,pdf,1.0089205719239105,0.59617666946475,-12.461605322763678,
124,pdf,1.0150423330727563,0.526567483856596,-8.583854579532934,-0.3030821118351341
127,pdf,1.00977906321908,0.5684195598490591,-6.3626941094331855,
128,pdf,1.0062865335069224,0.6604607516066644,-8.285110003674367,
130,pdf,1.0086489953943263,0.5937788561247223,-10.103019125318328,
131,pdf,1.0113285132324041,0.559341730934657,-10.01593078318487,-0.34792834295142727
132,pdf,1.0072299152839892,0.6433403690539593,-6.993057233067957,
133,pdf,1.0088003836386088,0.5986469775861946,-11.712011527581724,
138,pdf,1.0083393456810987,0.6131619720174835,-7.262602993450866,
139,pdf,1.0105170964595436,0.5636701314029295,-8.61085534495682,
140,pdf,1.008262142417326,0.6352946335817106,-5.579053626877543,
141,pdf,1.009156364484461,0.5941307818487914,-8.301762199278857,
143,pdf,1.0093023101128555,0.5971967468667814,-8.098630031743987,
145,pdf,1.0104142728206968,0.5673322879432745,-8.666866674892924,
146,pdf,1.0105005690025095,0.5674483599573756,-7.17127547939476,
147,pdf,1.0153149313578522,0.5881354702206698,-7.046868137692835,-0.3854411055229885
148,pdf,1.0110955345924773,0.565535509583565,-8.219866071411777,-0.38654233079667155
150,pdf,1.0145184811642778,0.5681554578674196,-4.820952691078632,-0.4231660933798884
151,pdf,1.010851920896995,0.5493083091839658,-8.97993984727403,
152,pdf,1.0111191624568863,0.5590086643029399,-10.946636813480872,
155,pdf,1.0093295254852586,0.5849672749442858,-9.090509757472864,
156,pdf,1.0139545039677396,0.5479439291791953,-7.390402887251051,-0.4684383424375833
157,pdf,1.011678401111714,0.5496497968273217,-11.7157912737118,-0.29018510557769694
158,pdf,1.0078438336543099,0.6076264417095655,-8.651307427931815,
159,pdf,1.0083754497756459,0.5785668449737197,-13.642164237556852,
161,pdf,1.010445460007522,0.5970181825917753,-26.78753844928286,
